tail_num,code,description,state
80009E,2819,2819,MN
80019E,2805,2805,IA
80059E,2824,2824,MN
80129E,2801,2801,MN
80139E,2804,2804,MN
80199E,2804,2804,WI
80209E,2843,2843,ND
80219E,2804,2804,WI
80239E,2800,2800,IA
80249E,2832,2832,MN
80259E,2804,2804,WI
80269E,2850,2850,NY
80279E,2804,2804,WI
80299E,2807,2807,IA
80309E,2804,2804,MN
80319E,2805,2805,IA
80329E,2819,2819,MN
80339E,2811,2811,MN
80349E,2819,2819,MN
80359E,2829,2829,MI
80369E,2836,2836,AR
80399E,2822,2822,MN
80409E,2800,2800,IA
80419E,2824,2824,WI
83909E,2802,2802,MN
84099E,2800,2800,IA
84129E,2808,2808,MN
84169E,2808,2808,MN
84239E,2805,2805,IA
84329E,2800,2800,IA
84449E,2837,2837,TN
84589E,2805,2805,IA
84759E,2839,2839,TN
84779E,2810,2810,MN
84889E,2808,2808,MN
84929E,2804,2804,WI
84959E,2805,2805,MN
85019E,2804,2804,MN
85059E,2808,2808,MN
85069E,2804,2804,WI
85159E,2800,2800,IA
85169E,2805,2805,MN
85249E,2801,2801,MN
85259E,2804,2804,WI
85329E,2805,2805,MN
85339E,2801,2801,MN
85419E,2804,2804,WI
85439E,2808,2808,MN
85549E,2804,2804,WI
85609E,2800,2800,IA
85779E,2800,2800,IA
85809E,2812,2812,MN
85879E,2810,2810,MN
85889E,2839,2839,TN
85989E,2819,2819,MN
86049E,2809,2809,MN
86119E,2800,2800,IA
86239E,2805,2805,MN
86319E,2887,2887,MN
86469E,2809,2809,MN
86599E,2823,2823,NE
86659E,2800,2800,IA
86729E,2818,2818,MT
86739E,2808,2808,MN
86749E,2812,2812,MN
86839E,2804,2804,MN
86889E,2832,2832,MN
86949E,2801,2801,MN
86969E,2809,2809,MN
86989E,2800,2800,IA
87099E,2809,2809,MN
87109E,2800,2800,IA
87189E,2807,2807,IA
87219E,2804,2804,MN
87339E,2804,2804,MN
87369E,2804,2804,WI
87459E,2800,2800,IA
87479E,2809,2809,MN
87519E,2810,2810,MN
87589E,2801,2801,MN
87719E,2805,2805,IA
87759E,2809,2809,MN
87839E,2834,2834,TN
87909E,2805,2805,MN
87949E,2809,2809,MN
87979E,2808,2808,MN
88009E,2809,2809,MN
88089E,2810,2810,MN
88289E,2800,2800,IA
88369E,2809,2809,MN
88379E,2805,2805,IA
88399E,2801,2801,MN
88479E,2805,2805,IA
88559E,2811,2811,MN
88699E,2810,2810,MN
88779E,2802,2802,MN
88839E,2824,2824,WI
88849E,2810,2810,MN
88869E,2832,2832,MN
88889E,2834,2834,TN
88919E,2800,2800,IA
88949E,2804,2804,WI
88969E,2804,2804,WI
89039E,2805,2805,IA
89079E,2819,2819,MN
89089E,2805,2805,IA
89139E,2836,2836,AR
89149E,2805,2805,MN
89189E,2804,2804,WI
89219E,2800,2800,IA
89239E,2808,2808,MN
89249E,2804,2804,MN
89289E,2819,2819,MN
89309E,2800,2800,IA
89329E,2801,2801,MN
89339E,2800,2800,IA
89369E,2805,2805,IA
89389E,2800,2800,IA
89409E,2810,2810,MN
89429E,2800,2800,IA
89439E,2872,2872,TN
89449E,2805,2805,IA
89609E,2800,2800,IA
89649E,2805,2805,IA
89659E,2805,2805,IA
89689E,2894,2894,WI
89699E,2822,2822,MN
89709E,2804,2804,WI
89719E,2810,2810,MN
89729E,2800,2800,IA
89749E,2803,2803,IA
89769E,2805,2805,MN
89779E,2808,2808,MN
89809E,2800,2800,IA
89829E,2808,2808,MN
89869E,2802,2802,MN
91469E,2001,2001,GA
91479E,2001,2001,GA
9149E,2001,2001,GA
91539E,2001,2001,GA
9159E,2002,2002,TX
N050AA,478,478,PR
N051AA,404,404,FL
N052AA,423,423,NY
N054AA,404,404,FL
N055AA,423,423,NY
N056AA,478,478,PR
N057AA,423,423,NY
N058AA,404,404,FL
N059AA,404,404,FL
N060AA,404,404,FL
N061AA,423,423,NY
N062AA,404,404,FL
N063AA,423,423,NY
N064AA,518,518,FL
N065AA,588,588,FL
N066AA,423,423,NY
N067AA,423,423,NY
N068AA,404,404,FL
N069AA,404,404,FL
N070AA,423,423,NY
N071AA,404,404,FL
N072AA,404,404,FL
N073AA,478,478,PR
N074AA,478,478,PR
N076AA,404,404,FL
N077AA,404,404,FL
N078AA,404,404,FL
N079AA,404,404,FL
N080AA,404,404,FL
N081AA,404,404,FL
N082AA,404,404,FL
N083AA,423,423,NY
N084AA,404,404,FL
N10156,2181,2181,NJ
N102UW,1435,1435,NC
N10323,458,458,TX
N103US,1162,1162,AZ
N104UW,1521,1521,NC
N10575,7751,7751,CA
N105UA,127,127,IL
N105UW,1735,1735,GA
N106US,1196,1196,NC
N107US,1708,1708,FL
N108UW,883,883,MA
N109UW,888,888,NV
N110UW,1106,1106,NC
N11106,2107,2107,TX
N11107,2315,2315,NY
N11109,2459,2459,MO
N11113,2778,2778,MO
N11119,2995,2995,NJ
N11121,2545,2545,NH
N11127,2040,2040,NJ
N11137,2207,2207,KS
N11140,2072,2072,VA
N11150,2040,2040,NJ
N11155,2429,2429,MN
N11164,1,1,TX
N11165,7667,7667,NV
N11176,7651,7651,OR
N11181,7651,7651,OR
N11184,7667,7667,NV
N11187,1,1,TX
N11189,22,22,CA
N11191,1,1,TX
N11192,1,1,TX
N11193,1,1,TX
N11194,1,1,TX
N11199,117,117,CA
N111US,1161,1161,MA
N11206,1563,1563,FL
N112US,889,889,MA
N113UW,1560,1560,GA
N114UW,1440,1440,TN
N11526,2671,2671,IA
N11535,2675,2675,NJ
N11536,3153,3153,MD
N11539,2060,2060,TX
N11544,108,108,CA
N11547,102,102,CA
N11548,2602,2602,NJ
N11551,1,1,TX
N11565,3154,3154,AL
N11612,1463,1463,TX
N11641,1837,1837,TX
N11651,505,505,NJ
N11656,1876,1876,PA
N117UW,1440,1440,NC
N118US,851,851,NC
N119US,1877,1877,NC
N1200K,150,150,GA
N1201P,147,147,NY
N120UA,595,595,CO
N12109,197,197,TX
N12114,692,692,NJ
N12116,1500,1500,FL
N12122,2401,2401,NH
N12125,1506,1506,TX
N12126,3098,3098,NJ
N12135,2086,2086,AR
N12136,2706,2706,AZ
N12142,2601,2601,NJ
N12145,2120,2120,TX
N12157,2771,2771,NM
N12160,2510,2510,LA
N12163,1,1,TX
N12166,1,1,TX
N12167,7651,7651,OR
N12172,7664,7664,NV
N12175,1,1,TX
N12195,1,1,TX
N121DE,22,22,NV
N121UA,109,109,IL
N121UW,1450,1450,NV
N12201,10,10,CA
N12216,1648,1648,TX
N12218,473,473,NJ
N12221,1779,1779,TX
N12225,1881,1881,NJ
N12238,1675,1675,TX
N122US,1455,1455,NC
N12313,303,303,NJ
N12318,1011,1011,NJ
N12319,526,526,TX
N12327,175,175,OH
N12349,1051,1051,FL
N123UW,1892,1892,NC
N124DE,12,12,CA
N124US,1258,1258,PA
N12519,2786,2786,TX
N12528,2151,2151,TX
N12530,2708,2708,TX
N12540,2628,2628,GA
N12552,1,1,TX
N12563,108,108,CA
N12564,3129,3129,OH
N12567,2480,2480,NJ
N12569,7670,7670,CA
N125DL,20,20,FL
N126AT,123,123,GA
N126DL,645,645,GA
N127DL,535,535,GA
N128DL,110,110,GA
N12900,2362,2362,NM
N12921,2961,2961,NY
N12922,2334,2334,NJ
N12924,2077,2077,NJ
N12934,2633,2633,TX
N12946,2931,2931,TX
N12957,2162,2162,IN
N12967,3035,3035,OH
N12996,2597,2597,TX
N129DL,963,963,GA
N1309T,1237,1237,MI
N130DL,535,535,GA
N13110,286,286,AK
N13113,455,455,FL
N13118,3098,3098,NJ
N13123,2025,2025,TX
N13124,2968,2968,TN
N13132,2895,2895,OH
N13133,2093,2093,OH
N13138,17,17,NJ
N13161,1,1,TX
N131DN,110,110,GA
N13248,480,480,NV
N132DN,1637,1637,GA
N1332U,1246,1246,MI
N1334U,1245,1245,MI
N133DN,1017,1017,GA
N134DL,41,41,GA
N13538,2815,2815,NY
N13550,1,1,TX
N13553,1,1,TX
N13566,2064,2064,IN
N135DL,785,785,FL
N13624,1160,1160,GA
N136DL,68,68,CA
N13716,529,529,CO
N13718,1445,1445,OH
N13720,555,555,OH
N13750,1752,1752,TX
N137DL,828,828,GA
N138DL,1251,1251,GA
N13903,2981,2981,TX
N13908,7751,7751,CA
N13913,3087,3087,FL
N13914,2516,2516,OH
N13929,2587,2587,VA
N13935,2489,2489,ME
N13936,3052,3052,NJ
N13949,2701,2701,NC
N13955,2445,2445,NJ
N13956,2246,2246,OH
N13958,2707,2707,AL
N13964,2756,2756,NJ
N13965,2372,2372,MS
N13968,2055,2055,TX
N13969,2061,2061,OH
N13970,2585,2585,MO
N13975,2356,2356,NC
N13978,2540,2540,NJ
N13979,2036,2036,WI
N13988,2137,2137,LA
N13989,2459,2459,MO
N13990,3019,3019,TX
N13992,2980,2980,TX
N13994,2281,2281,TX
N13995,2566,2566,NJ
N13997,2639,2639,OK
N139DL,101,101,CA
N1402A,550,550,HI
N140LL,64,64,NV
N14102,294,294,CA
N14105,2262,2262,TX
N14106,1493,1493,FL
N14107,1480,1480,TX
N14115,1095,1095,TX
N14116,3051,3051,VA
N14117,2207,2207,KS
N14118,1703,1703,CA
N14120,1807,1807,FL
N14121,754,754,NJ
N14125,2125,2125,MN
N14143,2917,2917,TX
N14148,2208,2208,MO
N14153,2937,2937,CO
N14158,2986,2986,MO
N14162,1,1,TX
N14168,7667,7667,NV
N14171,7664,7664,NV
N14173,7667,7667,NV
N14174,11,11,MO
N14177,7651,7651,OR
N14179,7667,7667,NV
