code,description,site_number,airport_remark_id
10135,Allentown/Bethlehem/Easton,10135,10135
10140,Albuquerque,10140,10140
10157,Arcata/Eureka,10157,10157
10158,"Atlantic City",10158,10158
10257,Albany,10257,10257
10372,Aspen,10372,10372
10397,Atlanta,10397,10397
10408,Appleton,10408,10408
10423,Austin,10423,10423
10434,Scranton/Wilkes-Barre,10434,10434
10469,Kalamazoo,10469,10469
10529,Hartford,10529,10529
10561,Bakersfield,10561,10561
10581,Bangor,10581,10581
10599,Birmingham,10599,10599
10620,Billings,10620,10620
10627,Bismarck/Mandan,10627,10627
10666,Bellingham,10666,10666
10693,Nashville,10693,10693
10713,Boise,10713,10713
10721,Boston,10721,10721
10779,Butte,10779,10779
10781,"Baton Rouge",10781,10781
10785,Burlington,10785,10785
10792,Buffalo,10792,10792
10800,Burbank,10800,10800
10821,Baltimore,10821,10821
10849,Bozeman,10849,10849
10868,Columbia,10868,10868
10874,Akron,10874,10874
10930,"Crescent City",10930,10930
10980,Chattanooga,10980,10980
10990,Charlottesville,10990,10990
10994,Charleston,10994,10994
11002,Chico,11002,11002
11003,"Cedar Rapids/Iowa City",11003,11003
11041,Carlsbad,11041,11041
11042,Cleveland,11042,11042
11057,Charlotte,11057,11057
11066,Columbus,11066,11066
11097,Cody,11097,11097
11109,"Colorado Springs",11109,11109
11122,Casper,11122,11122
11146,Charleston/Dunbar,11146,11146
11193,Cincinnati,11193,11193
11203,Mosinee,11203,11203
11252,"Daytona Beach",11252,11252
11267,Dayton,11267,11267
11278,Washington,11278,11278
11292,Denver,11292,11292
11298,"Dallas/Fort Worth",11298,11298
11337,Duluth,11337,11337
11413,Durango,11413,11413
11423,"Des Moines",11423,11423
11433,Detroit,11433,11433
11503,Eagle,11503,11503
11525,Elko,11525,11525
11540,"El Paso",11540,11540
11603,Eugene,11603,11603
11618,Newark,11618,11618
11637,Fargo,11637,11637
11638,Fresno,11638,11638
11648,Kalispell,11648,11648
11697,"Fort Lauderdale",11697,11697
11721,Flint,11721,11721
11775,"Sioux Falls",11775,11775
11823,"Fort Wayne",11823,11823
11884,Spokane,11884,11884
11921,"Grand Junction",11921,11921
11977,"Green Bay",11977,11977
11986,"Grand Rapids",11986,11986
11995,"Greensboro/High Point",11995,11995
11996,Greer,11996,11996
12003,"Great Falls",12003,12003
12012,Gunnison,12012,12012
12094,Hayden,12094,12094
12156,Helena,12156,12156
12191,Houston,12191,12191
12197,"White Plains",12197,12197
12217,Huntsville,12217,12217
12264,Washington,12264,12264
12266,Houston,12266,12266
12278,Wichita,12278,12278
12280,"Idaho Falls",12280,12280
12339,Indianapolis,12339,12339
12363,"El Centro",12363,12363
12436,Inyokern,12436,12436
12441,Jackson,12441,12441
12448,Jackson/Vicksburg,12448,12448
12451,Jacksonville,12451,12451
12478,"New York",12478,12478
12884,Lansing,12884,12884
12889,"Las Vegas",12889,12889
12892,"Los Angeles",12892,12892
12945,Lexington,12945,12945
12953,"New York",12953,12953
12954,"Long Beach",12954,12954
12982,Lihue,12982,12982
12992,"Little Rock",12992,12992
13029,Lincoln,13029,13029
13076,"La Crosse",13076,13076
13127,Lewiston,13127,13127
