carrier,origin_destination,code,description,tail_num,origin,destination,id,dep_time,distance,aircraft_engine_code,site_number
YV,MSN,100,100,N505MJ,ORD,MSN,100,1336,109,7370,13485
NW,DTW,1000,1000,N758NW,ORD,DTW,1000,1119,235,1242,11433
NW,DTW,1001,1001,N676MC,ORD,DTW,1001,1027,235,1242,11433
UA,EWR,100162,100162,N831UA,ORD,EWR,100162,2138,719,818,11618
UA,EWR,100163,100163,N402UA,ORD,EWR,100163,2228,719,818,11618
UA,EWR,100164,100164,,ORD,EWR,100164,,719,818,11618
UA,EWR,100165,100165,N409UA,ORD,EWR,100165,2243,719,818,11618
UA,EWR,100166,100166,N428UA,ORD,EWR,100166,2149,719,818,11618
UA,EWR,100167,100167,N463UA,ORD,EWR,100167,2133,719,818,11618
UA,EWR,100168,100168,N847UA,ORD,EWR,100168,2328,719,818,11618
UA,EWR,100169,100169,,ORD,EWR,100169,,719,818,11618
UA,EWR,100170,100170,N822UA,ORD,EWR,100170,2057,719,818,11618
UA,EWR,100171,100171,N836UA,ORD,EWR,100171,2158,719,818,11618
UA,EWR,100172,100172,N848UA,ORD,EWR,100172,2100,719,818,11618
UA,EWR,100173,100173,,ORD,EWR,100173,,719,818,11618
UA,EWR,100174,100174,N435UA,ORD,EWR,100174,2133,719,818,11618
UA,EWR,100175,100175,N466UA,ORD,EWR,100175,2056,719,818,11618
UA,EWR,100176,100176,N456UA,ORD,EWR,100176,2054,719,818,11618
UA,EWR,100177,100177,N415UA,ORD,EWR,100177,2320,719,818,11618
UA,EWR,100178,100178,N434UA,ORD,EWR,100178,2105,719,818,11618
UA,EWR,100179,100179,N528UA,ORD,EWR,100179,2252,719,818,11618
UA,EWR,100180,100180,N468UA,ORD,EWR,100180,2314,719,818,11618
UA,EWR,100181,100181,,ORD,EWR,100181,,719,818,11618
UA,EWR,100182,100182,N828UA,ORD,EWR,100182,2231,719,818,11618
UA,EWR,100183,100183,N826UA,ORD,EWR,100183,2057,719,818,11618
UA,EWR,100184,100184,N456UA,ORD,EWR,100184,2212,719,818,11618
UA,EWR,100185,100185,N565UA,ORD,EWR,100185,2058,719,818,11618
UA,EWR,100186,100186,N853UA,ORD,EWR,100186,2224,719,818,11618
UA,EWR,100187,100187,N429UA,ORD,EWR,100187,0010,719,818,11618
UA,EWR,100188,100188,N420UA,ORD,EWR,100188,2116,719,818,11618
UA,EWR,100189,100189,,ORD,EWR,100189,,719,818,11618
NW,DTW,1002,1002,N784NC,ORD,DTW,1002,1006,235,1242,11433
