AB,AB,Alberta,Alberta
AK,AK,Alaska,Alaska
AL,AL,Alabama,Alabama
AR,AR,Arkansas,Arkansas
AZ,AZ,Arizona,Arizona
BC,BC,"British Columbia","British Columbia"
CA,CA,California,California
CO,CO,Colorado,Colorado
Code,Code,Description,Description
CT,CT,Connecticut,Connecticut
DC,DC,"District of Columbia","District of Columbia"
DE,DE,Delaware,Delaware
FL,FL,Florida,Florida
GA,GA,Georgia,Georgia
HI,HI,Hawaii,Hawaii
IA,IA,Iowa,Iowa
ID,ID,Idaho,Idaho
IL,IL,Illinois,Illinois
IN,IN,Indiana,Indiana
KS,KS,Kansas,Kansas
KY,KY,Kentucky,Kentucky
LA,LA,Louisiana,Louisiana
MA,MA,Massachusetts,Massachusetts
MB,MB,Manitoba,Manitoba
MD,MD,Maryland,Maryland
ME,ME,Maine,Maine
MI,MI,Michigan,Michigan
MN,MN,Minnesota,Minnesota
MO,MO,Missouri,Missouri
MS,MS,Mississippi,Mississippi
MT,MT,Montana,Montana
NB,NB,"New Brunswick","New Brunswick"
NC,NC,"North Carolina","North Carolina"
ND,ND,"North Dakota","North Dakota"
NE,NE,Nebraska,Nebraska
NH,NH,"New Hampshire","New Hampshire"
NJ,NJ,"New Jersey","New Jersey"
NL,NL,"Newfoundland and Labrador","Newfoundland and Labrador"
NM,NM,"New Mexico","New Mexico"
NS,NS,"Nova Scotia","Nova Scotia"
NT,NT,"Northwest Territories","Northwest Territories"
NU,NU,"Nunavut Territory","Nunavut Territory"
NV,NV,Nevada,Nevada
NY,NY,"New York","New York"
OH,OH,Ohio,Ohio
OK,OK,Oklahoma,Oklahoma
ON,ON,Ontario,Ontario
OR,OR,Oregon,Oregon
PA,PA,Pennsylvania,Pennsylvania
PE,PE,"Prince Edward Island","Prince Edward Island"
PR,PR,"Puerto Rico","Puerto Rico"
QC,QC,Quebec,Quebec
RI,RI,"Rhode Island","Rhode Island"
SC,SC,"South Carolina","South Carolina"
SD,SD,"South Dakota","South Dakota"
SK,SK,Saskatchewan,Saskatchewan
TN,TN,Tennessee,Tennessee
TX,TX,Texas,Texas
UT,UT,Utah,Utah
VA,VA,Virginia,Virginia
VI,VI,"U.S. Virgin Islands","U.S. Virgin Islands"
VT,VT,Vermont,Vermont
WA,WA,Washington,Washington
WI,WI,Wisconsin,Wisconsin
WV,WV,"West Virginia","West Virginia"
WY,WY,Wyoming,Wyoming
YT,YT,"Yukon Territory","Yukon Territory"
