AB,AB,Alberta,9000
AL,AL,Alabama,9000
AR,AR,Arkansas,9000
AZ,AZ,Arizona,9000
BC,BC,"British Columbia",9000
CO,CO,Colorado,9000
Code,Code,Description,9000
CT,CT,Connecticut,9000
DC,DC,"District of Columbia",9000
DE,DE,Delaware,9000
FL,FL,Florida,9000
GA,GA,Georgia,9000
HI,HI,Hawaii,9000
IA,IA,Iowa,9000
ID,ID,Idaho,9000
IL,IL,Illinois,9000
IN,IN,Indiana,9000
KS,KS,Kansas,9000
KY,KY,Kentucky,9000
LA,LA,Louisiana,9000
MA,MA,Massachusetts,9000
MB,MB,Manitoba,9000
ME,ME,Maine,9000
MI,MI,Michigan,9000
MN,MN,Minnesota,9000
MO,MO,Missouri,9000
MS,MS,Mississippi,9000
MT,MT,Montana,9000
NB,NB,"New Brunswick",9000
ND,ND,"North Dakota",9000
NE,NE,Nebraska,9000
NH,NH,"New Hampshire",9000
NJ,NJ,"New Jersey",9000
NL,NL,"Newfoundland and Labrador",9000
NS,NS,"Nova Scotia",9000
NY,NY,"New York",9000
OH,OH,Ohio,9000
OK,OK,Oklahoma,9000
ON,ON,Ontario,9000
PA,PA,Pennsylvania,9000
PE,PE,"Prince Edward Island",9000
QC,QC,Quebec,9000
SC,SC,"South Carolina",9000
SD,SD,"South Dakota",9000
SK,SK,Saskatchewan,9000
TT,TT,"U.S. Pacific Trust Territories and Possessions",9000
TX,TX,Texas,9000
UT,UT,Utah,9000
VA,VA,Virginia,9000
VI,VI,"U.S. Virgin Islands",9000
VT,VT,Vermont,9000
WA,WA,Washington,9000
WI,WI,Wisconsin,9000
WV,WV,"West Virginia",9000
WY,WY,Wyoming,9000
YT,YT,"Yukon Territory",9000
